2021-12-25 11:54:57.025 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 11:59:57.031 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:01:11.658 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x47db272b, L:/127.0.0.1:9000 - R:/127.0.0.1:1466] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:06.111 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xf5ae3602, L:/127.0.0.1:9000 - R:/127.0.0.1:1472] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:06.155 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xf96e4313, L:/127.0.0.1:9000 - R:/127.0.0.1:12252] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:18.280 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x132cb861, L:/127.0.0.1:9000 - R:/127.0.0.1:12277] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:18.287 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x9d5dd58c, L:/127.0.0.1:9000 - R:/127.0.0.1:12279] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:18.294 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x47bcf876, L:/127.0.0.1:9000 - R:/127.0.0.1:12281] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:18.321 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xd8c95ad9, L:/127.0.0.1:9000 - R:/127.0.0.1:12287] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:18.435 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x0751c9de, L:/127.0.0.1:9000 - R:/127.0.0.1:12289] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:18.476 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x43bdd013, L:/127.0.0.1:9000 - R:/127.0.0.1:12291] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.284 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x8c342352, L:/127.0.0.1:9000 - R:/127.0.0.1:12316] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.291 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x649534f1, L:/127.0.0.1:9000 - R:/127.0.0.1:12318] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.297 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x70e69b46, L:/127.0.0.1:9000 - R:/127.0.0.1:12320] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.304 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x5800d856, L:/127.0.0.1:9000 - R:/127.0.0.1:12322] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.312 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xc87cb901, L:/127.0.0.1:9000 - R:/127.0.0.1:12324] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.320 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x1a07089e, L:/127.0.0.1:9000 - R:/127.0.0.1:12326] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.429 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xcbf660ae, L:/127.0.0.1:9000 - R:/127.0.0.1:12330] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:35.464 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xd1ee738d, L:/127.0.0.1:9000 - R:/127.0.0.1:12332] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 12:04:57.042 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:09:57.055 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:14:57.068 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:19:57.084 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:24:57.089 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:29:57.090 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:34:57.105 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:39:57.108 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:44:57.114 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:49:57.120 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:54:57.129 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 12:59:57.142 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 13:04:57.150 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 13:09:57.165 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 13:14:57.175 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 13:19:05.865 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x9767c80e, L:/127.0.0.1:9000 - R:/127.0.0.1:14426] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 13:19:05.934 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x5846348f, L:/127.0.0.1:9000 - R:/127.0.0.1:14427] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 13:19:57.185 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver   :43   [32m        [0;39m Resolving eureka endpoints via configuration
2021-12-25 13:21:36.994 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x781bbd3f, L:/127.0.0.1:9000 - R:/127.0.0.1:14647] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 远程主机强迫关闭了一个现有的连接。
2021-12-25 13:23:17.437 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x5304e8fb, L:/127.0.0.1:9000 - R:/127.0.0.1:14648] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 13:23:18.353 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xceb8c16b, L:/127.0.0.1:9000 - R:/127.0.0.1:14755] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 13:23:25.393 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xd6e5307b, L:/127.0.0.1:9000 - R:/127.0.0.1:14759] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 13:23:30.750 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0xa97c10ef, L:/127.0.0.1:9000 - R:/127.0.0.1:14771] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
2021-12-25 13:23:35.137 WARN  reactor.netty.channel.FluxReceive                 :294  [32m        [0;39m [id: 0x874f562e, L:/127.0.0.1:9000 - R:/127.0.0.1:14782] An exception has been observed post termination, use DEBUG level to see the full stack: java.io.IOException: 你的主机中的软件中止了一个已建立的连接。
